Average cover per quadrat,,,,Stream,Quadrat,Species ,Species richness,,,,,,Unique species per stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stream,Quadrat,Average cover,,Mossom Creek,0,v_yellow_archangel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary,,,,,,,,,,,,
Mossom Creek,0,0.064,,Mossom Creek,0,n_little_prince_pine,1,,,,,,Stream,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simpsons Diversity Index,,,,,,,,,Stream,EC classification,Chao1 (Richness),Variance Chao1,Simpsons Diversity Index,,,,,,,,
Mossom Creek,2.5,0.091,,Mossom Creek,0,n_salmonberry,1,,,,,,Mosson,"v_yellow_archangel,n_little_prince_pine,n_salmonberry,n_osoberry,0,n_sword_fern,n_herb_robert,v_periwinkle,i_daffodil,u_sedge",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mosson,Low,15,2.888888889,0.712310993,,,,,,,,
Mossom Creek,5,0.403,,Mossom Creek,0,n_salmonberry,1,,,,,,Noon,"n_sword_fern,v_blackberry,n_osoberry,0,u_groundcover,u_sedge,i_creeping_buttercup",,,,,,,,,,,,,,,,,,,,,,,,i_creeping_buttercup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noons,Low,6,0,0.536587683,,,,,,,,
Noons Creek,0,0.178,,Mossom Creek,0,"n_osoberry, n_salmonberry",2,,,,,,Rogers,"n_red_huckleberry,i_wall_lettuce,n_salal,0,n_sword_fern,v_english_holly,v_english_ivy,v_spurge_laurel,v_trailing_blackberry",,,,,,,,,,,,,,,,,,,,,,,,n_bladder_fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers,Low,11,4,0.53972185,,,,,,,,
Noons Creek,2.5,0.368,,Mossom Creek,0,0,0,,,,,,Hoy,"0,n_osoberry,v_cherry_laurel,v_english_holly,u_groundcover,i_stinging_nettle",,,,,,,,,,,,,,,,,,,,,,,,n_catch_weed_bedstraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoy,High,5.5,0.520833333,0.595,,,,,,,,
Noons Creek,5,0.016,,Mossom Creek,0,0,0,,,,,,Stoney,"n_sword_fern,v_cherry_laurel,0,n_bladder_fern,n_osoberry,i_creeping_buttercup,n_catch_weed_bedstraw",,,,,,,,,,,,,,,,,,,,,,,,n_osoberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoney,High,12.75,0.79296875,0.352711629,,,,,,,,
Rodgers Creek,0,0.142,,Mossom Creek,0,0,0,,,,,,Eagle,"v_spurge_laurel,0,v_english_holly,n_herb_robert,u_woody,u_sedge,u_woodrush,n_twinflower,i_foxglove,u_watercress,v_periwinkle,i_creeping_buttercup,n_osoberry,i_wall_lettuce,n_sword_fern",,,,,,,,,,,,,,,,,,,,,,,,n_sword_fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chapter 13, Species Diversity Measures",,,,,,,,,Eagle,High,10.75,0.79296875,0.843032221,,,,,,,,
Rodgers Creek,2.5,0.3,,Mossom Creek,0,n_sword_fern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v_cherry_laurel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This can be used with cover data and on >30 quadrats, less quadrats will be biased",,,,,,,,,,,,,,,,,,,,,
Rodgers Creek,5,0.35,,Mossom Creek,0,n_sword_fern,1,,,,,,Species richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relative abundance calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoy Creek,0,0.012,,Mossom Creek,2.5,v_yellow_archangel,1,,,,,,"Quadrat sampling (presence, no presence, uniqueness). Since we do not have count of individual per species, this calculation will estimate the species richness from presence or absence data. For every quadrat, if there was percent cover recorded for a species, then 1 will be returned, if there was 0% cover of the species, then it will return 0. Schao is the estimator, and depeneds on the rare species observed. So it depends on the species that only have one observation and the species that have 2 observations.  Obtained from: https://www.zoology.ubc.ca/~krebs/downloads/krebs_chapter_13_2017.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Returned percent cover per specie on each quadrat. Then calculated the average percent cover for each species from all quadrats. From this calculated the relative abundace by dividing the average cover per species over the total cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoy Creek,2.5,0.005,,Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoy Creek,5,0.004,,Mossom Creek,2.5,v_yellow_archangel,1,,,,,,Mosson Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mosson Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mosson Creek,,,,,,,,,,,,,,,,,,,,,
Stoney Creek,0,0.458,,Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Sum,,,,Species,Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average percent cover,Relative abundace/ Proportion,,,,,,,,,,,,,,,,,,,,,,,,,,,
