date,day,pot id,species,treatment,road salt concentration,avg height (cm),germination,growth rate (height/day),observations
2026-02-18,1,1,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,2,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,3,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,4,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,5,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,6,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,7,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,8,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,9,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,10,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,11,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,12,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,13,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,14,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,15,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,16,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,17,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,18,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,19,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,20,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,21,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,22,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,23,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,24,western yarrow,control,0.0000,0.00,0,n/a,
2026-02-18,1,25,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,26,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,27,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,28,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,29,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,30,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,31,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,32,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,33,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,34,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,35,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,36,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,37,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,38,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,39,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,40,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,41,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,42,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,43,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,44,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,45,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,46,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,47,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,48,white dutch clover,control,0.0000,0.00,0,n/a,
2026-02-18,1,49,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,50,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,51,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,52,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,53,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,54,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,55,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,56,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,57,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,58,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,59,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,60,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,61,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,62,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,63,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,64,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,65,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,66,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,67,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,68,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,69,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,70,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,71,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,72,western yarrow,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,73,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,74,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,75,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,76,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,77,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,78,white dutch clover,low salt,0.0841,0.00,0,n/a,
2026-02-18,1,79,white dutch clover,low salt,0.0841,0.00,0,n/a,
