Stream,Quadrat,Species ,Species richness,,,,,,,,,
Mossom Creek,0,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,0,n_little_prince_pine,1,,,,,,,,,
Mossom Creek,0,n_salmonberry,1,,,,,,,,,
Mossom Creek,0,n_salmonberry,1,,,,,,,,,
Mossom Creek,0,"n_osoberry, n_salmonberry",2,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,n_sword_fern,1,,,,,,,,,
Mossom Creek,0,n_sword_fern,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy, n_brittle_cinder",3,,,,,,,,,
Mossom Creek,2.5,"n_sword_fern, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"n_herb_robert, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"n_herb_robert, n_youth_on_age",2,,,,,,,,,
Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel, v_english_ivy",5,,,,,,,,,
Mossom Creek,5,"n_osoberry, n_salmonberry, v_yellow_archangel, v_english_ivy",4,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy, n_licorice_fern",4,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_english_ivy",2,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy",3,,,,,,,,,
Mossom Creek,5,"i_daffodil, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel",4,,,,,,,,,
Mossom Creek,5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,5,"v_yellow_archangel, n_youth_on_age",2,,,,,,,,,
Mossom Creek,5,"u_sedge, n_salmonberry, v_yellow_archangel, n_youth_on_age",4,,,,,,,,,
Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,,,
Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,n_osoberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,"n_osoberry, v_blackberry",2,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,"n_osoberry, n_sword_fern",2,,,,,,,,,
Noons Creek,2.5,0,0,,,,,,,,,
Noons Creek,2.5,u_groundcover,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,"n_osoberry, v_blackberry",2,,,,,,,,,
Noons Creek,5,u_groundcover,1,,,,,,,,,
Noons Creek,5,"n_osoberry, i_creeping_buttercup, v_blackberry",3,,,,,,,,,
Noons Creek,5,v_blackberry,1,,,,,,,,,
Noons Creek,5,"u_groundcover, n_osoberry",2,,,,,,,,,
Noons Creek,5,u_sedge,1,,,,,,,,,
Noons Creek,5,0,0,,,,,,,,,
